hosp_date,age_group,new_hosp
2021-05-31,15-34,158
2021-05-31,35-59,387
2021-05-31,60-79,445
2021-05-31,80+,230
2021-06-01,00-04,31
2021-06-01,00+,2337
2021-06-01,05-14,15
2021-06-01,15-34,250
2021-06-01,35-59,768
2021-06-01,60-79,867
2021-06-01,80+,406
2021-06-02,00-04,29
2021-06-02,00+,2447
2021-06-02,05-14,24
2021-06-02,15-34,300
2021-06-02,35-59,825
2021-06-02,60-79,803
2021-06-02,80+,466
2021-06-03,00-04,25
2021-06-03,00+,1747
2021-06-03,05-14,25
2021-06-03,15-34,200
2021-06-03,35-59,551
2021-06-03,60-79,559
2021-06-03,80+,387
2021-06-04,00-04,15
2021-06-04,00+,1524
2021-06-04,05-14,34
2021-06-04,15-34,179
2021-06-04,35-59,545
2021-06-04,60-79,445
2021-06-04,80+,306
2021-06-05,00-04,19
2021-06-05,00+,1420
2021-06-05,05-14,26
2021-06-05,15-34,176
2021-06-05,35-59,435
2021-06-05,60-79,499
2021-06-05,80+,265
2021-06-06,00-04,10
2021-06-06,00+,1065
2021-06-06,05-14,26
2021-06-06,15-34,127
2021-06-06,35-59,370
2021-06-06,60-79,342
2021-06-06,80+,190
2021-06-07,00-04,4
2021-06-07,00+,854
2021-06-07,05-14,16
2021-06-07,15-34,129
2021-06-07,35-59,262
2021-06-07,60-79,268
2021-06-07,80+,175
2021-06-08,00-04,20
2021-06-08,00+,1627
2021-06-08,05-14,16
2021-06-08,15-34,133
2021-06-08,35-59,607
2021-06-08,60-79,576
2021-06-08,80+,275
2021-06-09,00-04,12
2021-06-09,00+,1446
2021-06-09,05-14,21
2021-06-09,15-34,181
2021-06-09,35-59,473
2021-06-09,60-79,521
2021-06-09,80+,238
2021-06-10,00-04,17
2021-06-10,00+,1525
2021-06-10,05-14,52
2021-06-10,15-34,166
2021-06-10,35-59,500
2021-06-10,60-79,549
2021-06-10,80+,241
2021-06-11,00-04,16
2021-06-11,00+,1451
2021-06-11,05-14,37
2021-06-11,15-34,155
2021-06-11,35-59,482
2021-06-11,60-79,527
2021-06-11,80+,234
2021-06-12,00-04,16
2021-06-12,00+,1421
2021-06-12,05-14,33
2021-06-12,15-34,189
2021-06-12,35-59,442
2021-06-12,60-79,475
2021-06-12,80+,266
2021-06-13,00-04,23
2021-06-13,00+,837
2021-06-13,05-14,17
2021-06-13,15-34,125
2021-06-13,35-59,235
2021-06-13,60-79,270
2021-06-13,80+,167
2021-06-14,00-04,12
2021-06-14,00+,618
2021-06-14,05-14,14
2021-06-14,15-34,87
2021-06-14,35-59,202
2021-06-14,60-79,190
2021-06-14,80+,113
2021-06-15,00-04,26
2021-06-15,00+,1209
2021-06-15,05-14,24
2021-06-15,15-34,128
2021-06-15,35-59,408
2021-06-15,60-79,455
2021-06-15,80+,168
2021-06-16,00-04,16
2021-06-16,00+,1423
2021-06-16,05-14,18
2021-06-16,15-34,168
2021-06-16,35-59,599
2021-06-16,60-79,440
2021-06-16,80+,182
2021-06-17,00-04,13
2021-06-17,00+,1304
2021-06-17,05-14,19
2021-06-17,15-34,185
2021-06-17,35-59,460
2021-06-17,60-79,344
2021-06-17,80+,283
2021-06-18,00-04,23
2021-06-18,00+,1240
2021-06-18,05-14,11
2021-06-18,15-34,158
2021-06-18,35-59,412
2021-06-18,60-79,447
2021-06-18,80+,189
2021-06-19,00-04,28
2021-06-19,00+,1509
2021-06-19,05-14,27
2021-06-19,15-34,196
2021-06-19,35-59,627
2021-06-19,60-79,452
2021-06-19,80+,179
2021-06-20,00-04,9
2021-06-20,00+,574
2021-06-20,05-14,4
2021-06-20,15-34,96
2021-06-20,35-59,226
2021-06-20,60-79,157
2021-06-20,80+,82
2021-06-21,00-04,15
2021-06-21,00+,434
2021-06-21,05-14,4
2021-06-21,15-34,53
2021-06-21,35-59,168
2021-06-21,60-79,129
2021-06-21,80+,65
2021-06-22,00-04,23
2021-06-22,00+,1007
2021-06-22,05-14,9
2021-06-22,15-34,112
2021-06-22,35-59,357
2021-06-22,60-79,319
2021-06-22,80+,187
2021-06-23,00-04,46
2021-06-23,00+,1431
2021-06-23,05-14,19
2021-06-23,15-34,207
2021-06-23,35-59,555
2021-06-23,60-79,425
2021-06-23,80+,179
2021-06-24,00-04,35
2021-06-24,00+,943
2021-06-24,05-14,14
2021-06-24,15-34,159
2021-06-24,35-59,349
2021-06-24,60-79,273
2021-06-24,80+,113
2021-06-25,00-04,20
2021-06-25,00+,893
2021-06-25,05-14,23
2021-06-25,15-34,160
2021-06-25,35-59,298
2021-06-25,60-79,261
2021-06-25,80+,131
2021-06-26,00-04,26
2021-06-26,00+,1076
2021-06-26,05-14,19
2021-06-26,15-34,160
2021-06-26,35-59,380
2021-06-26,60-79,361
2021-06-26,80+,130
2021-06-27,00-04,15
2021-06-27,00+,456
2021-06-27,05-14,6
2021-06-27,15-34,91
2021-06-27,35-59,154
2021-06-27,60-79,124
2021-06-27,80+,66
2021-06-28,00-04,9
2021-06-28,00+,285
2021-06-28,05-14,6
2021-06-28,15-34,55
2021-06-28,35-59,93
2021-06-28,60-79,76
2021-06-28,80+,46
2021-06-29,00-04,21
2021-06-29,00+,651
2021-06-29,05-14,19
2021-06-29,15-34,99
2021-06-29,35-59,246
2021-06-29,60-79,173
2021-06-29,80+,93
2021-06-30,00-04,4
2021-06-30,00+,777
2021-06-30,05-14,23
2021-06-30,15-34,111
2021-06-30,35-59,275
2021-06-30,60-79,249
2021-06-30,80+,115
2021-07-01,00-04,12
2021-07-01,00+,694
2021-07-01,05-14,16
2021-07-01,15-34,78
2021-07-01,35-59,241
2021-07-01,60-79,193
2021-07-01,80+,154
2021-07-02,00-04,13
2021-07-02,00+,659
2021-07-02,05-14,25
2021-07-02,15-34,97
2021-07-02,35-59,183
2021-07-02,60-79,233
2021-07-02,80+,108
2021-07-03,00-04,18
2021-07-03,00+,826
2021-07-03,05-14,23
2021-07-03,15-34,135
2021-07-03,35-59,209
2021-07-03,60-79,329
2021-07-03,80+,112
2021-07-04,00-04,6
2021-07-04,00+,300
2021-07-04,05-14,7
2021-07-04,15-34,43
2021-07-04,35-59,117
2021-07-04,60-79,87
2021-07-04,80+,40
2021-07-05,00-04,5
2021-07-05,00+,210
2021-07-05,05-14,7
2021-07-05,15-34,44
2021-07-05,35-59,65
2021-07-05,60-79,61
2021-07-05,80+,28
2021-07-06,00-04,10
2021-07-06,00+,630
2021-07-06,05-14,9
2021-07-06,15-34,103
2021-07-06,35-59,259
2021-07-06,60-79,176
2021-07-06,80+,73
2021-07-07,00-04,14
2021-07-07,00+,666
2021-07-07,05-14,9
2021-07-07,15-34,105
2021-07-07,35-59,271
2021-07-07,60-79,197
2021-07-07,80+,70
2021-07-08,00-04,3
2021-07-08,00+,517
2021-07-08,05-14,2
2021-07-08,15-34,94
2021-07-08,35-59,194
2021-07-08,60-79,152
2021-07-08,80+,72
2021-07-09,00-04,7
2021-07-09,00+,580
2021-07-09,05-14,1
2021-07-09,15-34,125
2021-07-09,35-59,256
2021-07-09,60-79,147
2021-07-09,80+,44
2021-07-10,00-04,3
2021-07-10,00+,750
2021-07-10,05-14,2
2021-07-10,15-34,153
2021-07-10,35-59,236
2021-07-10,60-79,262
2021-07-10,80+,94
2021-07-11,00-04,5
2021-07-11,00+,596
2021-07-11,05-14,9
2021-07-11,15-34,91
2021-07-11,35-59,175
2021-07-11,60-79,218
2021-07-11,80+,98
2021-07-12,00-04,11
2021-07-12,00+,759
2021-07-12,05-14,53
2021-07-12,15-34,119
2021-07-12,35-59,255
2021-07-12,60-79,235
2021-07-12,80+,86
2021-07-13,00-04,32
2021-07-13,00+,1049
2021-07-13,05-14,9
2021-07-13,15-34,100
2021-07-13,35-59,408
2021-07-13,60-79,357
2021-07-13,80+,143
2021-07-14,00-04,7
2021-07-14,00+,1184
2021-07-14,05-14,18
2021-07-14,15-34,178
2021-07-14,35-59,378
2021-07-14,60-79,414
2021-07-14,80+,189
2021-07-15,00-04,10
2021-07-15,00+,715
2021-07-15,05-14,5
2021-07-15,15-34,103
2021-07-15,35-59,328
2021-07-15,60-79,199
2021-07-15,80+,70
2021-07-16,00-04,24
2021-07-16,00+,843
2021-07-16,05-14,4
2021-07-16,15-34,145
2021-07-16,35-59,316
2021-07-16,60-79,198
2021-07-16,80+,156
