hosp_date,age_group,new_hosp
2021-10-02,05-14,53
2021-10-02,15-34,512
2021-10-02,35-59,1118
2021-10-02,60-79,773
2021-10-02,80+,631
2021-10-03,00-04,61
2021-10-03,00+,1882
2021-10-03,05-14,56
2021-10-03,15-34,303
2021-10-03,35-59,488
2021-10-03,60-79,523
2021-10-03,80+,451
2021-10-04,00-04,50
2021-10-04,00+,1576
2021-10-04,05-14,40
2021-10-04,15-34,255
2021-10-04,35-59,413
2021-10-04,60-79,428
2021-10-04,80+,390
2021-10-05,00-04,103
2021-10-05,00+,3782
2021-10-05,05-14,50
2021-10-05,15-34,578
2021-10-05,35-59,1331
2021-10-05,60-79,921
2021-10-05,80+,799
2021-10-06,00-04,86
2021-10-06,00+,3355
2021-10-06,05-14,86
2021-10-06,15-34,496
2021-10-06,35-59,1127
2021-10-06,60-79,865
2021-10-06,80+,695
2021-10-07,00-04,89
2021-10-07,00+,2905
2021-10-07,05-14,77
2021-10-07,15-34,468
2021-10-07,35-59,983
2021-10-07,60-79,704
2021-10-07,80+,584
2021-10-08,00-04,87
2021-10-08,00+,3025
2021-10-08,05-14,51
2021-10-08,15-34,410
2021-10-08,35-59,1073
2021-10-08,60-79,757
2021-10-08,80+,647
2021-10-09,00-04,50
2021-10-09,00+,2953
2021-10-09,05-14,38
2021-10-09,15-34,391
2021-10-09,35-59,902
2021-10-09,60-79,856
2021-10-09,80+,716
2021-10-10,00-04,38
2021-10-10,00+,1809
2021-10-10,05-14,38
2021-10-10,15-34,277
2021-10-10,35-59,523
2021-10-10,60-79,521
2021-10-10,80+,412
2021-10-11,00-04,36
2021-10-11,00+,1600
2021-10-11,05-14,38
2021-10-11,15-34,209
2021-10-11,35-59,472
2021-10-11,60-79,438
2021-10-11,80+,407
2021-10-12,00-04,40
2021-10-12,00+,3125
2021-10-12,05-14,71
2021-10-12,15-34,420
2021-10-12,35-59,997
2021-10-12,60-79,808
2021-10-12,80+,789
2021-10-13,00-04,59
2021-10-13,00+,3724
2021-10-13,05-14,55
2021-10-13,15-34,518
2021-10-13,35-59,1191
2021-10-13,60-79,1030
2021-10-13,80+,871
2021-10-14,00-04,52
2021-10-14,00+,3182
2021-10-14,05-14,67
2021-10-14,15-34,417
2021-10-14,35-59,1019
2021-10-14,60-79,970
2021-10-14,80+,657
2021-10-15,00-04,64
2021-10-15,00+,3294
2021-10-15,05-14,71
2021-10-15,15-34,414
2021-10-15,35-59,981
2021-10-15,60-79,977
2021-10-15,80+,787
2021-10-16,00-04,49
2021-10-16,00+,3079
2021-10-16,05-14,55
2021-10-16,15-34,408
2021-10-16,35-59,818
2021-10-16,60-79,1002
2021-10-16,80+,747
2021-10-17,00-04,43
2021-10-17,00+,2170
2021-10-17,05-14,39
2021-10-17,15-34,329
2021-10-17,35-59,534
2021-10-17,60-79,727
2021-10-17,80+,498
2021-10-18,00-04,39
2021-10-18,00+,2004
2021-10-18,05-14,40
2021-10-18,15-34,292
2021-10-18,35-59,479
2021-10-18,60-79,573
2021-10-18,80+,581
2021-10-19,00-04,61
2021-10-19,00+,3883
2021-10-19,05-14,70
2021-10-19,15-34,485
2021-10-19,35-59,1208
2021-10-19,60-79,1156
2021-10-19,80+,903
2021-10-20,00-04,52
2021-10-20,00+,3788
2021-10-20,05-14,53
2021-10-20,15-34,488
2021-10-20,35-59,1108
2021-10-20,60-79,1149
2021-10-20,80+,938
2021-10-21,00-04,67
2021-10-21,00+,3662
2021-10-21,05-14,61
2021-10-21,15-34,468
2021-10-21,35-59,1043
2021-10-21,60-79,1072
2021-10-21,80+,951
2021-10-22,00-04,57
2021-10-22,00+,4310
2021-10-22,05-14,89
2021-10-22,15-34,530
2021-10-22,35-59,1223
2021-10-22,60-79,1321
2021-10-22,80+,1090
2021-10-23,00-04,66
2021-10-23,00+,4277
2021-10-23,05-14,58
2021-10-23,15-34,554
2021-10-23,35-59,1204
2021-10-23,60-79,1285
2021-10-23,80+,1110
2021-10-24,00-04,54
2021-10-24,00+,3224
2021-10-24,05-14,43
2021-10-24,15-34,399
2021-10-24,35-59,777
2021-10-24,60-79,1011
2021-10-24,80+,940
2021-10-25,00-04,63
2021-10-25,00+,2723
2021-10-25,05-14,42
2021-10-25,15-34,309
2021-10-25,35-59,661
2021-10-25,60-79,856
2021-10-25,80+,792
2021-10-26,00-04,97
2021-10-26,00+,5116
2021-10-26,05-14,65
2021-10-26,15-34,572
2021-10-26,35-59,1432
2021-10-26,60-79,1532
2021-10-26,80+,1418
2021-10-27,00-04,122
2021-10-27,00+,5255
2021-10-27,05-14,55
2021-10-27,15-34,611
2021-10-27,35-59,1348
2021-10-27,60-79,1656
2021-10-27,80+,1463
2021-10-28,00-04,91
2021-10-28,00+,5592
2021-10-28,05-14,49
2021-10-28,15-34,655
2021-10-28,35-59,1445
2021-10-28,60-79,1791
2021-10-28,80+,1561
2021-10-29,00-04,117
2021-10-29,00+,5325
2021-10-29,05-14,66
2021-10-29,15-34,546
2021-10-29,35-59,1458
2021-10-29,60-79,1552
2021-10-29,80+,1586
2021-10-30,00-04,80
2021-10-30,00+,5209
2021-10-30,05-14,76
2021-10-30,15-34,544
2021-10-30,35-59,1314
2021-10-30,60-79,1558
2021-10-30,80+,1637
2021-10-31,00-04,76
2021-10-31,00+,3705
2021-10-31,05-14,41
2021-10-31,15-34,371
2021-10-31,35-59,904
2021-10-31,60-79,1120
2021-10-31,80+,1193
2021-11-01,00-04,57
2021-11-01,00+,3626
2021-11-01,05-14,68
2021-11-01,15-34,363
2021-11-01,35-59,911
2021-11-01,60-79,1113
2021-11-01,80+,1114
2021-11-02,00-04,101
2021-11-02,00+,4635
2021-11-02,05-14,73
2021-11-02,15-34,515
2021-11-02,35-59,1143
2021-11-02,60-79,1411
2021-11-02,80+,1392
2021-11-03,00-04,96
2021-11-03,00+,7135
2021-11-03,05-14,73
2021-11-03,15-34,625
2021-11-03,35-59,2047
2021-11-03,60-79,2309
2021-11-03,80+,1985
2021-11-04,00-04,88
2021-11-04,00+,6670
2021-11-04,05-14,82
2021-11-04,15-34,573
2021-11-04,35-59,1628
2021-11-04,60-79,2191
2021-11-04,80+,2108
2021-11-05,00-04,64
2021-11-05,00+,6459
2021-11-05,05-14,66
2021-11-05,15-34,659
2021-11-05,35-59,1620
2021-11-05,60-79,2119
2021-11-05,80+,1931
2021-11-06,00-04,100
2021-11-06,00+,6484
2021-11-06,05-14,75
2021-11-06,15-34,521
2021-11-06,35-59,1590
2021-11-06,60-79,2099
2021-11-06,80+,2099
2021-11-07,00-04,71
2021-11-07,00+,4676
2021-11-07,05-14,93
2021-11-07,15-34,382
2021-11-07,35-59,1065
2021-11-07,60-79,1461
2021-11-07,80+,1604
2021-11-08,00-04,73
2021-11-08,00+,4117
2021-11-08,05-14,78
2021-11-08,15-34,341
2021-11-08,35-59,951
2021-11-08,60-79,1301
2021-11-08,80+,1373
2021-11-09,00-04,91
2021-11-09,00+,7038
2021-11-09,05-14,83
2021-11-09,15-34,639
2021-11-09,35-59,1784
2021-11-09,60-79,2353
2021-11-09,80+,2088
2021-11-10,00-04,104
2021-11-10,00+,7798
2021-11-10,05-14,120
2021-11-10,15-34,575
2021-11-10,35-59,1999
2021-11-10,60-79,2426
2021-11-10,80+,2574
2021-11-11,00-04,131
2021-11-11,00+,8022
2021-11-11,05-14,123
2021-11-11,15-34,616
2021-11-11,35-59,2025
2021-11-11,60-79,2538
2021-11-11,80+,2589
2021-11-12,00-04,105
2021-11-12,00+,7641
2021-11-12,05-14,133
2021-11-12,15-34,653
2021-11-12,35-59,1874
2021-11-12,60-79,2492
2021-11-12,80+,2384
2021-11-13,00-04,110
2021-11-13,00+,7461
2021-11-13,05-14,176
2021-11-13,15-34,621
2021-11-13,35-59,1695
2021-11-13,60-79,2600
2021-11-13,80+,2259
2021-11-14,00-04,100
2021-11-14,00+,5496
2021-11-14,05-14,100
2021-11-14,15-34,453
2021-11-14,35-59,1108
2021-11-14,60-79,1893
2021-11-14,80+,1842
2021-11-15,00-04,85
2021-11-15,00+,4778
2021-11-15,05-14,78
2021-11-15,15-34,399
2021-11-15,35-59,1010
2021-11-15,60-79,1702
2021-11-15,80+,1504
2021-11-16,00-04,94
2021-11-16,00+,8336
2021-11-16,05-14,135
2021-11-16,15-34,784
2021-11-16,35-59,1867
2021-11-16,60-79,2821
2021-11-16,80+,2635
2021-11-17,00-04,132
2021-11-17,00+,9363
2021-11-17,05-14,168
2021-11-17,15-34,741
2021-11-17,35-59,2353
2021-11-17,60-79,3200
2021-11-17,80+,2769
2021-11-18,00-04,139
2021-11-18,00+,8563
2021-11-18,05-14,195
2021-11-18,15-34,729
2021-11-18,35-59,1917
2021-11-18,60-79,3031
2021-11-18,80+,2552
2021-11-19,00-04,112
2021-11-19,00+,8126
2021-11-19,05-14,132
2021-11-19,15-34,636
2021-11-19,35-59,2009
2021-11-19,60-79,2856
2021-11-19,80+,2381
2021-11-20,00-04,125
2021-11-20,00+,8990
2021-11-20,05-14,155
2021-11-20,15-34,720
2021-11-20,35-59,2187
2021-11-20,60-79,2918
2021-11-20,80+,2885
2021-11-21,00-04,93
2021-11-21,00+,6362
2021-11-21,05-14,140
2021-11-21,15-34,549
2021-11-21,35-59,1336
2021-11-21,60-79,2181
2021-11-21,80+,2063
2021-11-22,00-04,101
2021-11-22,00+,5844
2021-11-22,05-14,127
2021-11-22,15-34,466
2021-11-22,35-59,1353
2021-11-22,60-79,1940
2021-11-22,80+,1857
2021-11-23,00-04,147
2021-11-23,00+,9838
2021-11-23,05-14,173
2021-11-23,15-34,737
2021-11-23,35-59,2354
2021-11-23,60-79,3358
2021-11-23,80+,3069
2021-11-24,00-04,142
2021-11-24,00+,11188
2021-11-24,05-14,169
2021-11-24,15-34,859
2021-11-24,35-59,2641
2021-11-24,60-79,3845
2021-11-24,80+,3532
2021-11-25,00-04,149
2021-11-25,00+,10489
2021-11-25,05-14,176
2021-11-25,15-34,730
2021-11-25,35-59,2555
2021-11-25,60-79,3600
2021-11-25,80+,3279
2021-11-26,00-04,119
2021-11-26,00+,11722
2021-11-26,05-14,178
2021-11-26,15-34,817
2021-11-26,35-59,2876
2021-11-26,60-79,4123
2021-11-26,80+,3609
2021-11-27,00-04,146
2021-11-27,00+,10105
2021-11-27,05-14,144
2021-11-27,15-34,732
2021-11-27,35-59,2665
2021-11-27,60-79,3360
2021-11-27,80+,3058
2021-11-28,00-04,102
2021-11-28,00+,6724
2021-11-28,05-14,118
2021-11-28,15-34,521
2021-11-28,35-59,1495
2021-11-28,60-79,2381
2021-11-28,80+,2107
2021-11-29,00-04,93
2021-11-29,00+,5996
2021-11-29,05-14,108
2021-11-29,15-34,436
2021-11-29,35-59,1243
2021-11-29,60-79,2198
2021-11-29,80+,1918
2021-11-30,00-04,151
2021-11-30,00+,11281
2021-11-30,05-14,161
2021-11-30,15-34,919
2021-11-30,35-59,2869
2021-11-30,60-79,3826
2021-11-30,80+,3355
2021-12-01,00-04,167
2021-12-01,00+,11535
2021-12-01,05-14,207
2021-12-01,15-34,876
2021-12-01,35-59,2986
2021-12-01,60-79,4073
2021-12-01,80+,3226
2021-12-02,00-04,153
2021-12-02,00+,9701
2021-12-02,05-14,179
2021-12-02,15-34,666
2021-12-02,35-59,2465
2021-12-02,60-79,3338
2021-12-02,80+,2900
2021-12-03,00-04,160
2021-12-03,00+,11498
2021-12-03,05-14,202
2021-12-03,15-34,863
2021-12-03,35-59,3041
2021-12-03,60-79,3910
2021-12-03,80+,3322
2021-12-04,00-04,140
2021-12-04,00+,10393
2021-12-04,05-14,270
2021-12-04,15-34,733
2021-12-04,35-59,2549
2021-12-04,60-79,3549
2021-12-04,80+,3152
2021-12-05,00-04,142
2021-12-05,00+,7014
2021-12-05,05-14,143
2021-12-05,15-34,494
2021-12-05,35-59,1740
2021-12-05,60-79,2414
2021-12-05,80+,2081
2021-12-06,00-04,99
2021-12-06,00+,5981
2021-12-06,05-14,144
2021-12-06,15-34,456
2021-12-06,35-59,1389
2021-12-06,60-79,2083
2021-12-06,80+,1810
2021-12-07,00-04,129
2021-12-07,00+,10746
2021-12-07,05-14,238
2021-12-07,15-34,860
2021-12-07,35-59,2886
2021-12-07,60-79,3678
2021-12-07,80+,2955
2021-12-08,00-04,145
2021-12-08,00+,13228
2021-12-08,05-14,258
2021-12-08,15-34,1044
2021-12-08,35-59,3468
2021-12-08,60-79,4549
2021-12-08,80+,3764
2021-12-09,00-04,132
2021-12-09,00+,11663
2021-12-09,05-14,250
2021-12-09,15-34,835
2021-12-09,35-59,3102
2021-12-09,60-79,4006
2021-12-09,80+,3338
2021-12-10,00-04,138
2021-12-10,00+,11607
2021-12-10,05-14,227
2021-12-10,15-34,877
2021-12-10,35-59,2796
2021-12-10,60-79,4170
2021-12-10,80+,3399
2021-12-11,00-04,105
2021-12-11,00+,10866
2021-12-11,05-14,120
2021-12-11,15-34,837
2021-12-11,35-59,2631
2021-12-11,60-79,3953
2021-12-11,80+,3220
2021-12-12,00-04,132
2021-12-12,00+,7185
2021-12-12,05-14,131
2021-12-12,15-34,593
2021-12-12,35-59,1625
2021-12-12,60-79,2475
2021-12-12,80+,2229
2021-12-13,00-04,95
2021-12-13,00+,5915
2021-12-13,05-14,121
2021-12-13,15-34,504
2021-12-13,35-59,1250
2021-12-13,60-79,2140
2021-12-13,80+,1805
2021-12-14,00-04,170
2021-12-14,00+,11914
2021-12-14,05-14,160
2021-12-14,15-34,912
2021-12-14,35-59,3367
2021-12-14,60-79,4134
2021-12-14,80+,3171
2021-12-15,00-04,171
2021-12-15,00+,12503
2021-12-15,05-14,207
2021-12-15,15-34,1086
2021-12-15,35-59,2993
2021-12-15,60-79,4519
2021-12-15,80+,3527
2021-12-16,00-04,170
2021-12-16,00+,10638
2021-12-16,05-14,203
2021-12-16,15-34,846
2021-12-16,35-59,2589
2021-12-16,60-79,3778
2021-12-16,80+,3052
2021-12-17,00-04,138
2021-12-17,00+,10855
2021-12-17,05-14,178
2021-12-17,15-34,785
2021-12-17,35-59,2686
2021-12-17,60-79,4115
2021-12-17,80+,2953
2021-12-18,00-04,210
2021-12-18,00+,10718
2021-12-18,05-14,172
2021-12-18,15-34,971
2021-12-18,35-59,2582
2021-12-18,60-79,3877
2021-12-18,80+,2906
2021-12-19,00-04,138
2021-12-19,00+,6659
2021-12-19,05-14,108
2021-12-19,15-34,604
2021-12-19,35-59,1554
2021-12-19,60-79,2238
2021-12-19,80+,2017
2021-12-20,00-04,88
2021-12-20,00+,5510
2021-12-20,05-14,133
2021-12-20,15-34,439
2021-12-20,35-59,1204
2021-12-20,60-79,2051
2021-12-20,80+,1595
2021-12-21,00-04,170
2021-12-21,00+,10022
2021-12-21,05-14,235
2021-12-21,15-34,824
2021-12-21,35-59,2525
2021-12-21,60-79,3548
2021-12-21,80+,2720
2021-12-22,00-04,173
2021-12-22,00+,10910
2021-12-22,05-14,253
2021-12-22,15-34,877
2021-12-22,35-59,2625
2021-12-22,60-79,3917
2021-12-22,80+,3065
2021-12-23,00-04,168
2021-12-23,00+,10053
2021-12-23,05-14,191
2021-12-23,15-34,774
2021-12-23,35-59,2617
2021-12-23,60-79,3547
2021-12-23,80+,2756
2021-12-24,00-04,136
2021-12-24,00+,8755
2021-12-24,05-14,193
2021-12-24,15-34,644
2021-12-24,35-59,2291
2021-12-24,60-79,3133
2021-12-24,80+,2358
2021-12-25,00-04,84
2021-12-25,00+,4901
2021-12-25,05-14,105
2021-12-25,15-34,438
2021-12-25,35-59,1174
2021-12-25,60-79,1792
2021-12-25,80+,1308
2021-12-26,00-04,79
2021-12-26,00+,3873
2021-12-26,05-14,84
2021-12-26,15-34,347
2021-12-26,35-59,954
2021-12-26,60-79,1364
2021-12-26,80+,1045
2021-12-27,00-04,81
2021-12-27,00+,4448
2021-12-27,05-14,100
2021-12-27,15-34,396
2021-12-27,35-59,1183
2021-12-27,60-79,1540
2021-12-27,80+,1148
2021-12-28,00-04,104
2021-12-28,00+,7489
2021-12-28,05-14,136
2021-12-28,15-34,600
2021-12-28,35-59,2049
2021-12-28,60-79,2603
2021-12-28,80+,1997
2021-12-29,00-04,102
2021-12-29,00+,7886
2021-12-29,05-14,117
2021-12-29,15-34,653
2021-12-29,35-59,2063
2021-12-29,60-79,2862
2021-12-29,80+,2089
2021-12-30,00-04,102
2021-12-30,00+,6842
2021-12-30,05-14,119
2021-12-30,15-34,606
2021-12-30,35-59,1600
2021-12-30,60-79,2469
2021-12-30,80+,1946
2021-12-31,00-04,113
2021-12-31,00+,6880
2021-12-31,05-14,125
2021-12-31,15-34,649
2021-12-31,35-59,1773
2021-12-31,60-79,2431
2021-12-31,80+,1789
2022-01-01,00-04,108
2022-01-01,00+,4644
2022-01-01,05-14,90
2022-01-01,15-34,525
2022-01-01,35-59,1197
2022-01-01,60-79,1549
2022-01-01,80+,1175
2022-01-02,00-04,71
2022-01-02,00+,3367
2022-01-02,05-14,52
2022-01-02,15-34,393
2022-01-02,35-59,859
2022-01-02,60-79,1108
2022-01-02,80+,884
2022-01-03,00-04,79
2022-01-03,00+,3651
2022-01-03,05-14,63
2022-01-03,15-34,406
2022-01-03,35-59,939
2022-01-03,60-79,1187
2022-01-03,80+,977
2022-01-04,00-04,87
2022-01-04,00+,6799
2022-01-04,05-14,109
2022-01-04,15-34,758
2022-01-04,35-59,1882
2022-01-04,60-79,2241
2022-01-04,80+,1722
2022-01-05,00-04,113
2022-01-05,00+,7862
2022-01-05,05-14,105
2022-01-05,15-34,940
2022-01-05,35-59,1971
2022-01-05,60-79,2737
2022-01-05,80+,1996
2022-01-06,00-04,117
2022-01-06,00+,7222
2022-01-06,05-14,96
2022-01-06,15-34,845
2022-01-06,35-59,1750
2022-01-06,60-79,2434
2022-01-06,80+,1980
2022-01-07,00-04,144
2022-01-07,00+,5906
2022-01-07,05-14,99
2022-01-07,15-34,813
2022-01-07,35-59,1442
2022-01-07,60-79,1964
2022-01-07,80+,1444
2022-01-08,00-04,190
2022-01-08,00+,6308
2022-01-08,05-14,109
2022-01-08,15-34,940
2022-01-08,35-59,1589
2022-01-08,60-79,1977
2022-01-08,80+,1503
2022-01-09,00-04,131
2022-01-09,00+,4212
2022-01-09,05-14,91
2022-01-09,15-34,694
2022-01-09,35-59,1069
2022-01-09,60-79,1207
2022-01-09,80+,1020
2022-01-10,00-04,113
2022-01-10,00+,3451
2022-01-10,05-14,66
2022-01-10,15-34,657
2022-01-10,35-59,855
2022-01-10,60-79,983
2022-01-10,80+,777
2022-01-11,00-04,215
2022-01-11,00+,6609
2022-01-11,05-14,151
2022-01-11,15-34,1042
2022-01-11,35-59,1741
2022-01-11,60-79,1959
2022-01-11,80+,1501
2022-01-12,00-04,185
2022-01-12,00+,6413
2022-01-12,05-14,73
2022-01-12,15-34,762
2022-01-12,35-59,1658
2022-01-12,60-79,2173
2022-01-12,80+,1562
2022-01-13,00-04,197
2022-01-13,00+,5667
2022-01-13,05-14,146
2022-01-13,15-34,874
2022-01-13,35-59,1369
2022-01-13,60-79,1704
2022-01-13,80+,1377
2022-01-14,00-04,182
2022-01-14,00+,5933
2022-01-14,05-14,203
2022-01-14,15-34,944
2022-01-14,35-59,1510
2022-01-14,60-79,1730
2022-01-14,80+,1364
2022-01-15,00-04,243
2022-01-15,00+,5616
2022-01-15,05-14,235
2022-01-15,15-34,870
2022-01-15,35-59,1516
2022-01-15,60-79,1590
2022-01-15,80+,1162
2022-01-16,00-04,160
2022-01-16,00+,3713
2022-01-16,05-14,165
2022-01-16,15-34,698
2022-01-16,35-59,1009
2022-01-16,60-79,948
2022-01-16,80+,733
2022-01-17,00-04,153
2022-01-17,00+,3069
2022-01-17,05-14,143
2022-01-17,15-34,571
2022-01-17,35-59,794
2022-01-17,60-79,734
2022-01-17,80+,674
2022-01-18,00-04,239
2022-01-18,00+,5992
2022-01-18,05-14,229
2022-01-18,15-34,1030
2022-01-18,35-59,1619
2022-01-18,60-79,1604
2022-01-18,80+,1271
2022-01-19,00-04,249
2022-01-19,00+,6318
2022-01-19,05-14,186
2022-01-19,15-34,1023
2022-01-19,35-59,1633
2022-01-19,60-79,1761
2022-01-19,80+,1466
2022-01-20,00-04,297
2022-01-20,00+,6416
2022-01-20,05-14,260
2022-01-20,15-34,1041
2022-01-20,35-59,1564
2022-01-20,60-79,1717
2022-01-20,80+,1537
2022-01-21,00-04,278
2022-01-21,00+,6136
2022-01-21,05-14,218
2022-01-21,15-34,1037
2022-01-21,35-59,1556
2022-01-21,60-79,1651
2022-01-21,80+,1396
2022-01-22,00-04,268
2022-01-22,00+,5890
2022-01-22,05-14,185
2022-01-22,15-34,1065
2022-01-22,35-59,1411
2022-01-22,60-79,1616
2022-01-22,80+,1345
2022-01-23,00-04,265
2022-01-23,00+,4451
2022-01-23,05-14,202
2022-01-23,15-34,848
2022-01-23,35-59,1120
2022-01-23,60-79,1099
2022-01-23,80+,917
2022-01-24,00-04,206
2022-01-24,00+,3734
2022-01-24,05-14,186
2022-01-24,15-34,723
2022-01-24,35-59,926
2022-01-24,60-79,854
2022-01-24,80+,839
2022-01-25,00-04,265
2022-01-25,00+,6817
2022-01-25,05-14,349
2022-01-25,15-34,1210
2022-01-25,35-59,1834
2022-01-25,60-79,1729
2022-01-25,80+,1430
2022-01-26,00-04,317
2022-01-26,00+,7008
2022-01-26,05-14,372
2022-01-26,15-34,1165
2022-01-26,35-59,1888
2022-01-26,60-79,1630
2022-01-26,80+,1636
2022-01-27,00-04,412
2022-01-27,00+,7998
2022-01-27,05-14,373
2022-01-27,15-34,1346
2022-01-27,35-59,1967
2022-01-27,60-79,2017
2022-01-27,80+,1883
2022-01-28,00-04,343
2022-01-28,00+,8689
2022-01-28,05-14,358
2022-01-28,15-34,1331
2022-01-28,35-59,2045
2022-01-28,60-79,2458
2022-01-28,80+,2154
2022-01-29,00-04,317
2022-01-29,00+,7037
2022-01-29,05-14,307
2022-01-29,15-34,1232
2022-01-29,35-59,1714
2022-01-29,60-79,1822
2022-01-29,80+,1645
2022-01-30,00-04,283
2022-01-30,00+,5338
2022-01-30,05-14,265
2022-01-30,15-34,954
2022-01-30,35-59,1346
2022-01-30,60-79,1206
2022-01-30,80+,1284
2022-01-31,00-04,208
2022-01-31,00+,4753
2022-01-31,05-14,296
2022-01-31,15-34,799
2022-01-31,35-59,1126
2022-01-31,60-79,1183
2022-01-31,80+,1141
2022-02-01,00-04,401
2022-02-01,00+,7453
2022-02-01,05-14,372
2022-02-01,15-34,1237
2022-02-01,35-59,1919
2022-02-01,60-79,1769
2022-02-01,80+,1755
2022-02-02,00-04,343
2022-02-02,00+,8664
2022-02-02,05-14,414
2022-02-02,15-34,1440
2022-02-02,35-59,2246
2022-02-02,60-79,2194
2022-02-02,80+,2027
2022-02-03,00-04,371
2022-02-03,00+,8013
2022-02-03,05-14,376
2022-02-03,15-34,1329
2022-02-03,35-59,1926
2022-02-03,60-79,2056
2022-02-03,80+,1955
2022-02-04,00-04,360
2022-02-04,00+,8774
2022-02-04,05-14,413
2022-02-04,15-34,1512
2022-02-04,35-59,2036
2022-02-04,60-79,2256
2022-02-04,80+,2197
2022-02-05,00-04,368
2022-02-05,00+,9070
2022-02-05,05-14,382
2022-02-05,15-34,1572
2022-02-05,35-59,2084
2022-02-05,60-79,2291
2022-02-05,80+,2373
2022-02-06,00-04,308
2022-02-06,00+,6280
2022-02-06,05-14,321
2022-02-06,15-34,939
2022-02-06,35-59,1395
2022-02-06,60-79,1640
2022-02-06,80+,1677
2022-02-07,00-04,234
2022-02-07,00+,5343
2022-02-07,05-14,272
2022-02-07,15-34,939
2022-02-07,35-59,1198
2022-02-07,60-79,1349
2022-02-07,80+,1351
2022-02-08,00-04,447
2022-02-08,00+,9399
2022-02-08,05-14,342
2022-02-08,15-34,1388
2022-02-08,35-59,2124
2022-02-08,60-79,2513
2022-02-08,80+,2585
2022-02-09,00-04,469
2022-02-09,00+,11386
2022-02-09,05-14,497
2022-02-09,15-34,1747
2022-02-09,35-59,2512
2022-02-09,60-79,2959
2022-02-09,80+,3202
2022-02-10,00-04,434
2022-02-10,00+,10312
2022-02-10,05-14,394
2022-02-10,15-34,1566
2022-02-10,35-59,2130
2022-02-10,60-79,2810
2022-02-10,80+,2978
2022-02-11,00-04,399
2022-02-11,00+,10441
2022-02-11,05-14,380
2022-02-11,15-34,1470
2022-02-11,35-59,2294
2022-02-11,60-79,3055
2022-02-11,80+,2843
2022-02-12,00-04,394
2022-02-12,00+,9758
2022-02-12,05-14,414
2022-02-12,15-34,1270
2022-02-12,35-59,2154
2022-02-12,60-79,2614
2022-02-12,80+,2912
2022-02-13,00-04,322
2022-02-13,00+,6916
2022-02-13,05-14,257
2022-02-13,15-34,967
2022-02-13,35-59,1515
2022-02-13,60-79,1957
2022-02-13,80+,1898
2022-02-14,00-04,254
2022-02-14,00+,5791
2022-02-14,05-14,255
2022-02-14,15-34,912
2022-02-14,35-59,1243
2022-02-14,60-79,1485
2022-02-14,80+,1642
2022-02-15,00-04,421
2022-02-15,00+,10911
2022-02-15,05-14,340
2022-02-15,15-34,1575
2022-02-15,35-59,2301
2022-02-15,60-79,3010
2022-02-15,80+,3264
2022-02-16,00-04,411
2022-02-16,00+,11912
2022-02-16,05-14,363
2022-02-16,15-34,1657
2022-02-16,35-59,2583
2022-02-16,60-79,3458
2022-02-16,80+,3440
2022-02-17,00-04,481
2022-02-17,00+,10978
2022-02-17,05-14,488
2022-02-17,15-34,1666
2022-02-17,35-59,2194
2022-02-17,60-79,3059
2022-02-17,80+,3090
2022-02-18,00-04,403
2022-02-18,00+,11183
2022-02-18,05-14,371
2022-02-18,15-34,1541
2022-02-18,35-59,2296
2022-02-18,60-79,3135
2022-02-18,80+,3437
2022-02-19,00-04,380
2022-02-19,00+,10687
2022-02-19,05-14,386
2022-02-19,15-34,1457
2022-02-19,35-59,2139
2022-02-19,60-79,3030
2022-02-19,80+,3295
2022-02-20,00-04,314
2022-02-20,00+,6978
2022-02-20,05-14,241
2022-02-20,15-34,967
2022-02-20,35-59,1322
2022-02-20,60-79,2000
2022-02-20,80+,2134
2022-02-21,00-04,265
2022-02-21,00+,6164
2022-02-21,05-14,257
2022-02-21,15-34,826
2022-02-21,35-59,1216
2022-02-21,60-79,1697
2022-02-21,80+,1903
2022-02-22,00-04,460
2022-02-22,00+,10920
2022-02-22,05-14,376
2022-02-22,15-34,1365
2022-02-22,35-59,2105
2022-02-22,60-79,3005
2022-02-22,80+,3609
2022-02-23,00-04,470
2022-02-23,00+,12128
2022-02-23,05-14,393
2022-02-23,15-34,1341
2022-02-23,35-59,2730
2022-02-23,60-79,3535
2022-02-23,80+,3659
2022-02-24,00-04,463
2022-02-24,00+,10155
2022-02-24,05-14,287
2022-02-24,15-34,1123
2022-02-24,35-59,2212
2022-02-24,60-79,2883
2022-02-24,80+,3187
2022-02-25,00-04,407
2022-02-25,00+,10740
2022-02-25,05-14,370
2022-02-25,15-34,1225
2022-02-25,35-59,2172
2022-02-25,60-79,3195
2022-02-25,80+,3371
2022-02-26,00-04,478
2022-02-26,00+,11032
2022-02-26,05-14,351
2022-02-26,15-34,1300
2022-02-26,35-59,2163
2022-02-26,60-79,3178
2022-02-26,80+,3562
2022-02-27,00-04,321
2022-02-27,00+,7130
2022-02-27,05-14,271
2022-02-27,15-34,911
2022-02-27,35-59,1374
2022-02-27,60-79,1974
2022-02-27,80+,2279
2022-02-28,00-04,293
2022-02-28,00+,6305
2022-02-28,05-14,199
2022-02-28,15-34,819
2022-02-28,35-59,1215
2022-02-28,60-79,1774
2022-02-28,80+,2005
2022-03-01,00-04,434
2022-03-01,00+,10822
2022-03-01,05-14,267
2022-03-01,15-34,1224
2022-03-01,35-59,1976
2022-03-01,60-79,3168
2022-03-01,80+,3753
